,Year,Model,Area (km^2),season
0,1993,GLORYS12,27.779333902563735,JJA
0,1994,GLORYS12,20.075985439212833,JJA
0,1995,GLORYS12,8.609833861668612,JJA
0,1996,GLORYS12,11.174654312202843,JJA
0,1997,GLORYS12,9.400786807259559,JJA
0,1998,GLORYS12,4.429336495309286,JJA
0,1999,GLORYS12,8.051723243880847,JJA
0,2000,GLORYS12,16.320292014418087,JJA
0,2001,GLORYS12,7.685574239854476,JJA
0,2002,GLORYS12,13.346664423466063,JJA
0,2003,GLORYS12,15.081428636717213,JJA
0,2004,GLORYS12,8.31122690692866,JJA
0,2005,GLORYS12,12.644582595357248,JJA
0,2006,GLORYS12,7.987736039293713,JJA
0,2007,GLORYS12,16.114111021859543,JJA
0,2008,GLORYS12,15.12764161780792,JJA
0,2009,GLORYS12,21.9618305521836,JJA
0,2010,GLORYS12,10.147304194109436,JJA
0,2011,GLORYS12,7.763780823238749,JJA
0,2012,GLORYS12,19.87335929135358,JJA
0,2013,GLORYS12,13.14226085325717,JJA
0,2014,GLORYS12,23.165145482891624,JJA
0,2015,GLORYS12,23.39976523304444,JJA
0,2016,GLORYS12,16.526473006976623,JJA
0,2017,GLORYS12,20.829612515461285,JJA
0,2018,GLORYS12,14.446888857894812,JJA
0,2019,GLORYS12,16.937057569744056,JJA
0,2020,PSY4,5.881490554967267,JJA
