,Year,Model,Area (km^2),season
0,1993,GLORYS12,34.04297026270416,MAM
0,1994,GLORYS12,33.93454749937596,MAM
0,1995,GLORYS12,18.371437405905617,MAM
0,1996,GLORYS12,17.059699711869392,MAM
0,1997,GLORYS12,17.322758219616496,MAM
0,1998,GLORYS12,10.717856768344701,MAM
0,1999,GLORYS12,6.558688470181085,MAM
0,2000,GLORYS12,14.909018668801883,MAM
0,2001,GLORYS12,14.33313382751769,MAM
0,2002,GLORYS12,17.52716178982539,MAM
0,2003,GLORYS12,16.97438343908655,MAM
0,2004,GLORYS12,11.990491170688783,MAM
0,2005,GLORYS12,9.503877303538829,MAM
0,2006,GLORYS12,9.413228763707055,MAM
0,2007,GLORYS12,18.341221225961686,MAM
0,2008,GLORYS12,18.133262811053505,MAM
0,2009,GLORYS12,19.350797120558667,MAM
0,2010,GLORYS12,4.660401400762821,MAM
0,2011,GLORYS12,5.3464864277248525,MAM
0,2012,GLORYS12,17.717345981237145,MAM
0,2013,GLORYS12,5.166966770410953,MAM
0,2014,GLORYS12,21.817859341862558,MAM
0,2015,GLORYS12,25.790398293313704,MAM
0,2016,GLORYS12,20.89893198709735,MAM
0,2017,GLORYS12,24.805706311611715,MAM
0,2018,GLORYS12,15.202293356492909,MAM
0,2019,GLORYS12,22.20178256938535,MAM
0,2020,PSY4,16.169211114698467,MAM
