,Year,Model,Area (km^2),season
0,1993,GLORYS12,21.99737899917645,SON
0,1994,GLORYS12,13.049834891075756,SON
0,1995,GLORYS12,14.621076248159786,SON
0,1996,GLORYS12,10.712524501295775,SON
0,1997,GLORYS12,10.028216896683384,SON
0,1998,GLORYS12,8.714701780297526,SON
0,1999,GLORYS12,6.9461665424031676,SON
0,2000,GLORYS12,14.493101838985522,SON
0,2001,GLORYS12,10.429914347702606,SON
0,2002,GLORYS12,4.726166027699596,SON
0,2003,GLORYS12,9.630074290363448,SON
0,2004,GLORYS12,3.3771024643208842,SON
0,2005,GLORYS12,8.286342994033665,SON
0,2006,GLORYS12,11.491035490439218,SON
0,2007,GLORYS12,5.310937980732001,SON
0,2008,GLORYS12,11.633229278410624,SON
0,2009,GLORYS12,3.65793519556441,SON
0,2010,GLORYS12,7.735342065644467,SON
0,2011,GLORYS12,1.5374703324408234,SON
0,2012,GLORYS12,13.405319361004269,SON
0,2013,GLORYS12,7.5167191166384315,SON
0,2014,GLORYS12,16.928170457995844,SON
0,2015,GLORYS12,8.927992462254632,SON
0,2016,GLORYS12,15.568442360519276,SON
0,2017,GLORYS12,18.72336703113484,SON
0,2018,GLORYS12,1.6441156734193778,SON
0,2019,GLORYS12,4.896798573265282,SON
0,2020,PSY4,1.772090082593643,SON
