,Year,Model,Area (km^2),season
0,1993,GLORYS12,26.222311924276845,annual
0,1994,GLORYS12,19.27436795952403,annual
0,1995,GLORYS12,10.538337111030803,annual
0,1996,GLORYS12,7.88820038771373,annual
0,1997,GLORYS12,7.511386849589504,annual
0,1998,GLORYS12,4.937679287307062,annual
0,1999,GLORYS12,4.356462178973941,annual
0,2000,GLORYS12,10.506343508737237,annual
0,2001,GLORYS12,7.59848054472199,annual
0,2002,GLORYS12,6.251194403692922,annual
0,2003,GLORYS12,8.48896914189292,annual
0,2004,GLORYS12,3.7077030213544027,annual
0,2005,GLORYS12,6.0841167028265195,annual
0,2006,GLORYS12,6.565798159579657,annual
0,2007,GLORYS12,10.42635950300332,annual
0,2008,GLORYS12,10.746295525938983,annual
0,2009,GLORYS12,12.31931430537266,annual
0,2010,GLORYS12,3.7841321823890333,annual
0,2011,GLORYS12,0.03732586934249394,annual
0,2012,GLORYS12,10.278833447982988,annual
0,2013,GLORYS12,5.623764314269094,annual
0,2014,GLORYS12,14.83792177481618,annual
0,2015,GLORYS12,13.279122374179646,annual
0,2016,GLORYS12,11.873181295612373,annual
0,2017,GLORYS12,15.952365588042072,annual
0,2018,GLORYS12,5.3749251853191335,annual
0,2019,GLORYS12,9.095070163121033,annual
0,2020,PSY4,4.111177894723266,annual
