,Year,Model,Area (km^2),season
0,1994,GLORYS12,15.058157726285796,DJF
0,1995,GLORYS12,13.499544378536232,DJF
0,1996,GLORYS12,5.529280298628957,DJF
0,1997,GLORYS12,4.683072587785807,DJF
0,1998,GLORYS12,5.916221431364927,DJF
0,1999,GLORYS12,4.740932944082775,DJF
0,2000,GLORYS12,0.35801095458748633,DJF
0,2001,GLORYS12,8.386135390791729,DJF
0,2002,GLORYS12,7.778601649673568,DJF
0,2003,GLORYS12,0.8932192503344357,DJF
0,2004,GLORYS12,2.8170760972086057,DJF
0,2005,GLORYS12,0.53882456801551,DJF
0,2006,GLORYS12,3.2365636803616207,DJF
0,2007,GLORYS12,4.5094915188949045,DJF
0,2008,GLORYS12,9.391459081451538,DJF
0,2009,GLORYS12,8.125763787455375,DJF
0,2010,GLORYS12,2.5205417711866467,DJF
0,2011,GLORYS12,0.0,DJF
0,2012,GLORYS12,0.0,DJF
0,2013,GLORYS12,3.334203031612752,DJF
0,2014,GLORYS12,9.619284234370848,DJF
0,2015,GLORYS12,6.266999841415291,DJF
0,2016,GLORYS12,4.578200691997552,DJF
0,2017,GLORYS12,5.131490349087306,DJF
0,2018,GLORYS12,4.339526722272562,DJF
0,2019,GLORYS12,0.0,DJF
0,2020,PSY4,2.686890295540428,DJF
