,Year,Model,Area (km^2),season
0,1993,GLORYS12,18.80099952424588,JJA
0,1994,GLORYS12,14.450623985167637,JJA
0,1995,GLORYS12,11.308083383788587,JJA
0,1996,GLORYS12,9.09854102769814,JJA
0,1997,GLORYS12,11.94454730305523,JJA
0,1998,GLORYS12,6.480359905260362,JJA
0,1999,GLORYS12,7.648415848005391,JJA
0,2000,GLORYS12,10.881363256098451,JJA
0,2001,GLORYS12,13.051126617234736,JJA
0,2002,GLORYS12,12.103663282871889,JJA
0,2003,GLORYS12,13.069207978577538,JJA
0,2004,GLORYS12,6.530987717020206,JJA
0,2005,GLORYS12,12.935405904640799,JJA
0,2006,GLORYS12,8.71159989496217,JJA
0,2007,GLORYS12,14.33851954484226,JJA
0,2008,GLORYS12,14.993064825451704,JJA
0,2009,GLORYS12,15.477645309438808,JJA
0,2010,GLORYS12,3.8657950550911413,JJA
0,2011,GLORYS12,3.5330980063835784,JJA
0,2012,GLORYS12,13.159614785291545,JJA
0,2013,GLORYS12,8.733297528573532,JJA
0,2014,GLORYS12,16.121341773242573,JJA
0,2015,GLORYS12,13.199393780245714,JJA
0,2016,GLORYS12,12.016872748426438,JJA
0,2017,GLORYS12,13.26087040881124,JJA
0,2018,GLORYS12,8.910494869732997,JJA
0,2019,GLORYS12,12.241081629077188,JJA
0,2020,PSY4,7.4567534177716865,JJA
