,Year,Model,Area (km^2),season
0,1993,GLORYS12,15.054541454017235,SON
0,1994,GLORYS12,14.121543208728632,SON
0,1995,GLORYS12,9.196180378949272,SON
0,1996,GLORYS12,6.552685350631569,SON
0,1997,GLORYS12,12.86308045926959,SON
0,1998,GLORYS12,11.228525393880256,SON
0,1999,GLORYS12,7.5543927690228205,SON
0,2000,GLORYS12,11.022397874572311,SON
0,2001,GLORYS12,12.573778677784752,SON
0,2002,GLORYS12,9.065994577281097,SON
0,2003,GLORYS12,10.40763158891703,SON
0,2004,GLORYS12,9.00090167644701,SON
0,2005,GLORYS12,8.747762617647775,SON
0,2006,GLORYS12,9.62651677890797,SON
0,2007,GLORYS12,10.588445202345053,SON
0,2008,GLORYS12,10.762026271235957,SON
0,2009,GLORYS12,8.888797236121631,SON
0,2010,GLORYS12,5.901756342290684,SON
0,2011,GLORYS12,1.479055357841232,SON
0,2012,GLORYS12,11.235757938417379,SON
0,2013,GLORYS12,9.304668547006088,SON
0,2014,GLORYS12,10.183422708266281,SON
0,2015,GLORYS12,8.914111142001556,SON
0,2016,GLORYS12,10.769258815773078,SON
0,2017,GLORYS12,10.606526563687856,SON
0,2018,GLORYS12,4.0791551189362085,SON
0,2019,GLORYS12,9.199796651217833,SON
0,2020,PSY4,4.628828503757401,SON
