STATION LAT LON
FC-01 47.00 -52.83
FC-02 47.00 -52.71
FC-03 47.00 -52.58
FC-04 47.00 -52.32
FC-05 47.00 -52.03
FC-06 47.00 -51.49
FC-07 47.00 -51.00
FC-08 47.00 -50.67
FC-09 47.00 -50.00
FC-10 47.00 -49.12
FC-11 47.00 -48.62
FC-12 47.00 -48.12
FC-13 47.00 -47.82
FC-14 47.00 -47.50
FC-15 47.00 -47.25
FC-16 47.00 -47.17
FC-17 47.00 -47.02
FC-18 47.00 -46.83
FC-19 47.00 -46.67
FC-20 47.00 -46.48
FC-21 47.00 -46.02
FC-22 47.00 -45.73
FC-23 47.00 -45.50
FC-24 47.00 -45.21
FC-25 47.00 -44.99
FC-26 47.00 -44.77
FC-27 47.00 -44.58
FC-28 47.00 -44.43
FC-29 47.00 -44.23
FC-30 47.00 -44.08
FC-31 47.00 -43.83
FC-32 47.00 -43.75
FC-33 47.00 -43.40
FC-34 47.00 -43.25
FC-35 47.00 -43.00
FC-36 47.00 -42.75
FC-37 47.00 -42.50
FC-38 47.00 -42.00
