,Year,Model,Area (km^2),season
0,1994,GLORYS12,20.859656069146045,DJF
0,1995,GLORYS12,18.176426805550765,DJF
0,1996,GLORYS12,18.65398303424001,DJF
0,1997,GLORYS12,12.19742282236147,DJF
0,1998,GLORYS12,11.457529038712268,DJF
0,1999,GLORYS12,12.382077897454641,DJF
0,2000,GLORYS12,15.022008729648764,DJF
0,2001,GLORYS12,14.538085084577,DJF
0,2002,GLORYS12,12.778131196447585,DJF
0,2003,GLORYS12,15.121340425216125,DJF
0,2004,GLORYS12,11.640910630528941,DJF
0,2005,GLORYS12,13.67975735621287,DJF
0,2006,GLORYS12,11.61416748172234,DJF
0,2007,GLORYS12,10.792770768376847,DJF
0,2008,GLORYS12,15.25378268597261,DJF
0,2009,GLORYS12,12.608757920672467,DJF
0,2010,GLORYS12,12.924581773245619,DJF
0,2011,GLORYS12,0.0,DJF
0,2012,GLORYS12,10.518971863928348,DJF
0,2013,GLORYS12,9.148703858409352,DJF
0,2014,GLORYS12,17.735801591880158,DJF
0,2015,GLORYS12,14.282114945999568,DJF
0,2016,GLORYS12,15.765722963127477,DJF
0,2017,GLORYS12,24.19618225358821,DJF
0,2018,GLORYS12,17.498933702450298,DJF
0,2019,GLORYS12,14.650151612909408,DJF
0,2020,PSY4,12.011494263991791,DJF
