,Year,Model,Area (km^2),season
0,1993,GLORYS12,22.423493532693747,JJA
0,1994,GLORYS12,19.234691408326125,JJA
0,1995,GLORYS12,17.369038408246823,JJA
0,1996,GLORYS12,16.29803897270642,JJA
0,1997,GLORYS12,13.729423203996552,JJA
0,1998,GLORYS12,9.380477814733197,JJA
0,1999,GLORYS12,10.98888719295856,JJA
0,2000,GLORYS12,18.72020416461825,JJA
0,2001,GLORYS12,12.5361693739117,JJA
0,2002,GLORYS12,12.058613145222461,JJA
0,2003,GLORYS12,15.809021394528633,JJA
0,2004,GLORYS12,6.546977524510367,JJA
0,2005,GLORYS12,7.2970591743716025,JJA
0,2006,GLORYS12,13.818567033351878,JJA
0,2007,GLORYS12,17.64920472907784,JJA
0,2008,GLORYS12,17.407242906541963,JJA
0,2009,GLORYS12,22.536833544302663,JJA
0,2010,GLORYS12,11.86631717047026,JJA
0,2011,GLORYS12,6.9290225074617595,JJA
0,2012,GLORYS12,16.348978303766604,JJA
0,2013,GLORYS12,18.142042757085136,JJA
0,2014,GLORYS12,20.392287706668842,JJA
0,2015,GLORYS12,16.83672239866788,JJA
0,2016,GLORYS12,16.49542888056464,JJA
0,2017,GLORYS12,20.89021966778216,JJA
0,2018,GLORYS12,14.506248002664384,JJA
0,2019,GLORYS12,14.958334565823533,JJA
0,2020,PSY4,9.319350617460975,JJA
