,Year,Model,Area (km^2),season
0,1993,GLORYS12,37.41748563025941,MAM
0,1994,GLORYS12,29.044333087241387,MAM
0,1995,GLORYS12,28.70303956913814,MAM
0,1996,GLORYS12,30.408233676377858,MAM
0,1997,GLORYS12,23.041132921798503,MAM
0,1998,GLORYS12,16.76286036863061,MAM
0,1999,GLORYS12,19.33529658716999,MAM
0,2000,GLORYS12,30.052931842233065,MAM
0,2001,GLORYS12,23.596371630354525,MAM
0,2002,GLORYS12,21.896271456220823,MAM
0,2003,GLORYS12,25.200960558750374,MAM
0,2004,GLORYS12,14.457855638157207,MAM
0,2005,GLORYS12,15.405327195876662,MAM
0,2006,GLORYS12,11.244857331535997,MAM
0,2007,GLORYS12,13.502743180778726,MAM
0,2008,GLORYS12,26.45152113627793,MAM
0,2009,GLORYS12,25.766387133518432,MAM
0,2010,GLORYS12,20.639343462310737,MAM
0,2011,GLORYS12,8.28655568021571,MAM
0,2012,GLORYS12,22.88831492861794,MAM
0,2013,GLORYS12,18.692187532535147,MAM
0,2014,GLORYS12,27.406633593656416,MAM
0,2015,GLORYS12,23.44100667062095,MAM
0,2016,GLORYS12,26.345822024328047,MAM
0,2017,GLORYS12,28.827840930235595,MAM
0,2018,GLORYS12,24.295513949155573,MAM
0,2019,GLORYS12,20.51199513466028,MAM
0,2020,PSY4,22.5750380425978,MAM
