,Year,Model,Area (km^2),season
0,1993,GLORYS12,8.221608033113974,SON
0,1994,GLORYS12,8.411357041313163,SON
0,1995,GLORYS12,6.087250061692192,SON
0,1996,GLORYS12,0.0,SON
0,1997,GLORYS12,0.0,SON
0,1998,GLORYS12,5.68100889648721,SON
0,1999,GLORYS12,0.8990791932122775,SON
0,2000,GLORYS12,8.888913270002405,SON
0,2001,GLORYS12,1.474693634192376,SON
0,2002,GLORYS12,1.7548599550233974,SON
0,2003,GLORYS12,4.8277751012291,SON
0,2004,GLORYS12,0.6023575897866958,SON
0,2005,GLORYS12,0.0,SON
0,2006,GLORYS12,6.718897766838493,SON
0,2007,GLORYS12,4.4533710179367345,SON
0,2008,GLORYS12,5.3982956091031795,SON
0,2009,GLORYS12,0.8557807618111198,SON
0,2010,GLORYS12,0.0,SON
0,2011,GLORYS12,0.0,SON
0,2012,GLORYS12,0.0,SON
0,2013,GLORYS12,9.598243455015492,SON
0,2014,GLORYS12,12.72209793228138,SON
0,2015,GLORYS12,6.822049912235371,SON
0,2016,GLORYS12,0.5246751099199127,SON
0,2017,GLORYS12,9.6555502024582,SON
0,2018,GLORYS12,0.0,SON
0,2019,GLORYS12,0.3896858826104206,SON
0,2020,PSY4,0.0,SON
