,Year,Model,Area (km^2),season
0,1993,GLORYS12,22.274495989342707,annual
0,1994,GLORYS12,17.097786470351334,annual
0,1995,GLORYS12,14.175142350773179,annual
0,1996,GLORYS12,12.379530930901632,annual
0,1997,GLORYS12,7.918519013305868,annual
0,1998,GLORYS12,7.120044998937456,annual
0,1999,GLORYS12,8.55526065155819,annual
0,2000,GLORYS12,16.58457270991996,annual
0,2001,GLORYS12,9.18054094032197,annual
0,2002,GLORYS12,9.384298264562712,annual
0,2003,GLORYS12,12.271284852398734,annual
0,2004,GLORYS12,3.8166293796844144,annual
0,2005,GLORYS12,3.5695736240425138,annual
0,2006,GLORYS12,6.884450592784098,annual
0,2007,GLORYS12,8.709352128015249,annual
0,2008,GLORYS12,13.674663423106852,annual
0,2009,GLORYS12,16.278936723558846,annual
0,2010,GLORYS12,3.6396152042502683,annual
0,2011,GLORYS12,0.3680366669098417,annual
0,2012,GLORYS12,8.932211701403563,annual
0,2013,GLORYS12,10.67561030693842,annual
0,2014,GLORYS12,18.796613161208526,annual
0,2015,GLORYS12,13.202201127523631,annual
0,2016,GLORYS12,12.473768693362974,annual
0,2017,GLORYS12,19.700786287526824,annual
0,2018,GLORYS12,12.169406190278364,annual
0,2019,GLORYS12,9.045551713012475,annual
0,2020,PSY4,4.049676819284764,annual
