,Year,Model,Area (km^2),season
0,1994,GLORYS12,46.48152271859392,DJF
0,1995,GLORYS12,42.67199828438059,DJF
0,1996,GLORYS12,32.62298592678613,DJF
0,1997,GLORYS12,15.349430725400813,DJF
0,1998,GLORYS12,16.041631480283286,DJF
0,1999,GLORYS12,13.848855662368882,DJF
0,2000,GLORYS12,19.981851161921966,DJF
0,2001,GLORYS12,22.927334793712063,DJF
0,2002,GLORYS12,17.905248897274554,DJF
0,2003,GLORYS12,15.51400992586238,DJF
0,2004,GLORYS12,5.092274084869649,DJF
0,2005,GLORYS12,21.596179495861165,DJF
0,2006,GLORYS12,9.025232919429145,DJF
0,2007,GLORYS12,20.48042932802613,DJF
0,2008,GLORYS12,21.283963071456128,DJF
0,2009,GLORYS12,13.560842061561143,DJF
0,2010,GLORYS12,11.900528362787101,DJF
0,2011,GLORYS12,0.0,DJF
0,2012,GLORYS12,10.293460875927098,DJF
0,2013,GLORYS12,9.293884261359056,DJF
0,2014,GLORYS12,24.882922940373035,DJF
0,2015,GLORYS12,29.183764693611327,DJF
0,2016,GLORYS12,27.973623513746865,DJF
0,2017,GLORYS12,24.870821528574393,DJF
0,2018,GLORYS12,17.605133884668167,DJF
0,2019,GLORYS12,24.957951693524635,DJF
0,2020,PSY4,16.385311575364792,DJF
