,Year,Model,Area (km^2),season
0,1993,GLORYS12,45.95148088181329,JJA
0,1994,GLORYS12,32.114726631243045,JJA
0,1995,GLORYS12,27.230596829310084,JJA
0,1996,GLORYS12,25.41054449479394,JJA
0,1997,GLORYS12,26.502091839031678,JJA
0,1998,GLORYS12,25.221762470735086,JJA
0,1999,GLORYS12,24.41822872730508,JJA
0,2000,GLORYS12,34.18406804881128,JJA
0,2001,GLORYS12,22.27143827422553,JJA
0,2002,GLORYS12,25.599326518852795,JJA
0,2003,GLORYS12,31.46125039411624,JJA
0,2004,GLORYS12,23.66068034870993,JJA
0,2005,GLORYS12,22.077815685447217,JJA
0,2006,GLORYS12,21.959221849820498,JJA
0,2007,GLORYS12,22.48926368660113,JJA
0,2008,GLORYS12,24.926488022848154,JJA
0,2009,GLORYS12,33.75083750641979,JJA
0,2010,GLORYS12,27.32256755897979,JJA
0,2011,GLORYS12,18.457073275292746,JJA
0,2012,GLORYS12,34.55437124984981,JJA
0,2013,GLORYS12,26.717496969047552,JJA
0,2014,GLORYS12,36.68906029113071,JJA
0,2015,GLORYS12,33.726634682822514,JJA
0,2016,GLORYS12,33.93477896575919,JJA
0,2017,GLORYS12,34.5204872968136,JJA
0,2018,GLORYS12,25.429906753671766,JJA
0,2019,GLORYS12,25.086226658590263,JJA
0,2020,PSY4,17.017005271254042,JJA
