,Year,Model,Area (km^2),season
0,1993,GLORYS12,63.99226559123267,MAM
0,1994,GLORYS12,50.019975528517605,MAM
0,1995,GLORYS12,40.88340962054093,MAM
0,1996,GLORYS12,41.69904477576958,MAM
0,1997,GLORYS12,35.355484710920074,MAM
0,1998,GLORYS12,40.341266371961645,MAM
0,1999,GLORYS12,23.111276253051464,MAM
0,2000,GLORYS12,35.39420922867573,MAM
0,2001,GLORYS12,22.73613248729348,MAM
0,2002,GLORYS12,33.72905496518224,MAM
0,2003,GLORYS12,38.81648848533242,MAM
0,2004,GLORYS12,34.23489397836558,MAM
0,2005,GLORYS12,31.117570299034735,MAM
0,2006,GLORYS12,20.50705243398314,MAM
0,2007,GLORYS12,36.92624796238413,MAM
0,2008,GLORYS12,36.67211831461261,MAM
0,2009,GLORYS12,35.54426673497893,MAM
0,2010,GLORYS12,28.57385353895964,MAM
0,2011,GLORYS12,23.329101665427068,MAM
0,2012,GLORYS12,43.94022624087855,MAM
0,2013,GLORYS12,32.04695872517063,MAM
0,2014,GLORYS12,44.98578822028145,MAM
0,2015,GLORYS12,39.837847641138026,MAM
0,2016,GLORYS12,41.38682835136455,MAM
0,2017,GLORYS12,42.69378082561816,MAM
0,2018,GLORYS12,40.70430872592098,MAM
0,2019,GLORYS12,41.115756727074896,MAM
0,2020,PSY4,30.01876210771781,MAM
