,Year,Model,Area (km^2),season
0,1993,GLORYS12,44.58402134856644,annual
0,1994,GLORYS12,31.180497640387685,annual
0,1995,GLORYS12,24.563445668888818,annual
0,1996,GLORYS12,19.563142313688864,annual
0,1997,GLORYS12,21.070978223799987,annual
0,1998,GLORYS12,19.906822408770374,annual
0,1999,GLORYS12,16.559571905265273,annual
0,2000,GLORYS12,24.9555314111649,annual
0,2001,GLORYS12,18.490957228328956,annual
0,2002,GLORYS12,20.13190866822516,annual
0,2003,GLORYS12,20.717616999279564,annual
0,2004,GLORYS12,15.618082067330725,annual
0,2005,GLORYS12,13.935985827319126,annual
0,2006,GLORYS12,17.62691642590573,annual
0,2007,GLORYS12,21.666367684293295,annual
0,2008,GLORYS12,22.854726322920197,annual
0,2009,GLORYS12,24.636054139680684,annual
0,2010,GLORYS12,15.453502866869156,annual
0,2011,GLORYS12,3.8313069754508815,annual
0,2012,GLORYS12,27.45326280640515,annual
0,2013,GLORYS12,22.414234933449535,annual
0,2014,GLORYS12,29.20070667012943,annual
0,2015,GLORYS12,23.585651595558332,annual
0,2016,GLORYS12,24.350460821232673,annual
0,2017,GLORYS12,28.65372285683069,annual
0,2018,GLORYS12,18.05288612121802,annual
0,2019,GLORYS12,21.19683290650589,annual
0,2020,PSY4,11.769833115361742,annual
