 Shortname  Longname               Lon1            lat1            lon2            lat2            Dir-E    Dir-N
 Ac         Anticosti             -6.4800000e+01   4.9000000e+01  -6.4420000e+01   4.9900000e+01    +1     -1
 BB_AZMP    BB-AZMP               -6.5515182e+01   4.3542454e+01  -6.5414833e+01   4.1822609e+01    -1     +1
 Bv         Bonavista             -5.3070000e+01   4.8630000e+01  -4.9000000e+01   5.0000000e+01    +1      -1
 BB         Bonne-Bay             -5.9930000e+01   5.0590000e+01  -5.7990000e+01   4.9330000e+01    -1      -1
 CSI        CSI                   -6.5585000e+01   4.3469000e+01  -6.6008000e+01   4.2544000e+01    -1      +1
 CS         Cabot-Strait          -6.0620000e+01   4.6960000e+01  -5.9000000e+01   4.7800000e+01    +1      -1
 Es         Estuary               -6.8490000e+01   4.8300000e+01  -6.8750000e+01   4.9100000e+01    +1      +1
 FC         Flemish-Cap           -5.2930000e+01   4.7000000e+01  -4.3000000e+01   4.7000000e+01    -1      -1
 Hfx        Halifax               -6.3460000e+01   4.4700000e+01  -6.1400000e+01   4.2530000e+01    -1      -1
 Lb         Louisbourg            -5.9850000e+01   4.6030000e+01  -5.7530000e+01   4.3470000e+01    -1      -1
 Mag        Magdalen              -6.5050000e+01   4.7630000e+01  -6.0500000e+01   4.6750000e+01    -1      -1
 MCSB       MCSB                  -5.5516735e+01   4.5272204e+01  -5.5409644e+01   4.5009046e+01    -1      -1
 NEC        NEC                   -6.5845100e+01   4.2474100e+01  -6.6164800e+01   4.1959700e+01    -1      +1
 SBI        Belle-Isle            -5.6254701e+01   5.1907072e+01  -5.6119010e+01   5.1371217e+01    -1      -1
 SI         Seal-Isle             -5.5917366e+01   5.3146169e+01  -5.2007608e+01   5.4392137e+01    +1      -1
 SE_GB      SE-Grand-Banks        -5.3130000e+01   4.6780000e+01  -4.9520000e+01   4.2400000e+01    -1      -1
 7I         Sept-Iles             -6.6200000e+01   4.9000000e+01  -6.6420000e+01   5.0400000e+01    +1      +1
 AR7W_E     AR7W-east             -4.7900000e+01   6.0700000e+01  -5.1210000e+01   5.7667000e+01    -1      +1
 AR7W_W     AR7W-west             -5.5900000e+01   5.3350000e+01  -5.1210000e+01   5.7667000e+01    +1      -1
 AR7W       AR7W                  -5.5900000e+01   5.3350000e+01  -4.7900000e+01   6.0700000e+01    +1      -1
 CG         Central-GSL           -6.2273000e+01   4.8010000e+01  -6.1610000e+01   4.8792000e+01    +1      -1
